Cluster Index	Z	x	y	z	
7	4.34	-54	-58	10
7	4.21	-16	-56	-4
7	4.18	-34	-70	-14
7	4.18	-26	-88	-12
7	4.16	-30	-72	22
7	3.97	12	-68	-20
6	4.2	26	-36	-4
6	4.01	26	-36	-10
6	3.84	12	-64	24
6	3.72	18	-62	4
6	3.64	18	-54	10
6	3.56	-6	-14	12
5	4.33	-46	8	26
5	3.75	-48	40	14
5	3.67	-36	16	24
5	3.47	-18	24	44
5	3.31	-46	30	12
5	3.24	-44	8	18
4	4.24	8	46	22
4	4.09	2	46	24
4	3.5	-6	36	20
4	3.25	-2	32	14
4	3.15	0	54	16
4	3.11	-4	62	2
3	3.62	28	-92	6
3	3.45	24	-94	-8
3	3.19	22	-98	-8
3	3.18	32	-94	-8
3	3.13	38	-80	14
3	3.1	32	-94	0
2	3.74	34	-70	38
2	3.63	38	-80	36
2	3.61	30	-64	36
2	3.33	30	-68	32
2	3.04	32	-74	30
2	3.04	14	-72	52
1	3.86	50	-28	42
1	3.08	62	-22	30
1	3.05	42	-32	40
1	3.04	50	-34	40
1	3.03	52	-38	42
1	3.03	62	-26	30
